regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,MA,,2021-01-14,7075181.0,202839.0,265,4588,5
Nordeste,PI,,2021-01-14,3273227.0,149686.0,819,2930,8
Nordeste,CE,,2021-01-14,9132078.0,349575.0,1161,10209,20
Nordeste,SE,,2021-01-14,2298696.0,126204.0,1262,2617,10
Nordeste,PB,,2021-01-14,4018127.0,175227.0,1028,3857,13
Nordeste,AL,,2021-01-14,3337357.0,110112.0,392,2593,8
Nordeste,RN,,2021-01-14,3506853.0,126890.0,1340,3138,13
Nordeste,PE,,2021-01-14,9557071.0,237453.0,1412,9946,27
Nordeste,BA,,2021-01-14,14873064.0,523068.0,4113,9543,31
Nordeste,SE,,2021-01-15,2298696.0,127349.0,1145,2629,12
Nordeste,CE,,2021-01-15,9132078.0,351351.0,1776,10209,0
Nordeste,BA,,2021-01-15,14873064.0,528539.0,5471,9575,32
Nordeste,PB,,2021-01-15,4018127.0,175997.0,770,3869,12
Nordeste,AL,,2021-01-15,3337357.0,110572.0,460,2602,9
Nordeste,RN,,2021-01-15,3506853.0,127847.0,957,3149,11
Nordeste,PI,,2021-01-15,3273227.0,150374.0,688,2935,5
Nordeste,PE,,2021-01-15,9557071.0,239155.0,1702,9964,18
Nordeste,MA,,2021-01-15,7075181.0,203156.0,317,4594,6
Nordeste,RN,,2021-01-16,3506853.0,129549.0,1702,3173,24
Nordeste,PI,,2021-01-16,3273227.0,151046.0,672,2945,10
Nordeste,AL,,2021-01-16,3337357.0,110968.0,396,2611,9
Nordeste,PB,,2021-01-16,4018127.0,176835.0,838,3880,11
Nordeste,SE,,2021-01-16,2298696.0,127715.0,366,2640,11
Nordeste,BA,,2021-01-16,14873064.0,534371.0,5832,9606,31
Nordeste,MA,,2021-01-16,7075181.0,203334.0,178,4601,7
Nordeste,PE,,2021-01-16,9557071.0,240605.0,1450,9993,29
Nordeste,CE,,2021-01-16,9132078.0,352340.0,989,10223,14
Nordeste,BA,,2021-01-17,14873064.0,537772.0,3401,9638,32
